79,78,81,78,78,81,78,78,80,78,78,81,80,79,77,100,78,78,82,78,77,82,79,78,81,81,79,82,100,79,90,87,79,81,82,79,80,81,78,79,100,78,81,82,79,100,83,79,81,82,79,81,81,78,83,81,79,81,100,79,83,79,80,81,79,81,100,80,81,81,79,83,80,79,83,81,80,82,80,85,100,85,87,88,89,100,87,86,88,86,89,88,85,88,87,89,86,87,90,87,88,86,88,89,89,90,91,90,90,91,90,89,89,90,89,88,89,89,90,89,90,90,90,100,100,91,88,94,89,91,89,93,91,86,91,92,90,90,91,91,91,91,94,90,91,89,93,93,90,100,100,91,85,100,93,93,93,91,93,91,
79,79,77,80,81,77,78,81,79,78,80,78,79,80,79,79,80,79,78,79,80,78,80,80,78,81,82,80,81,82,80,83,82,79,79,82,100,80,80,80,80,100,80,79,81,80,79,81,78,80,82,78,80,82,78,80,82,79,81,82,100,82,82,79,82,80,80,83,80,100,83,100,81,82,80,83,81,81,84,83,88,89,87,89,86,88,87,87,89,86,87,88,86,88,88,87,90,88,88,89,87,89,88,87,100,89,88,89,89,90,87,89,90,90,90,89,92,89,90,91,88,91,90,100,100,91,92,90,90,91,91,92,90,92,91,91,93,93,91,93,91,91,100,92,90,90,91,91,92,92,94,100,94,92,91,92,92,91,91,92,
77,80,80,78,78,81,78,78,82,78,78,82,79,78,82,100,79,81,80,79,80,80,78,79,82,79,79,83,100,79,82,80,78,82,79,79,83,80,79,82,100,80,83,80,81,100,81,80,81,79,79,81,79,78,80,79,79,83,100,80,82,78,80,81,78,81,100,78,82,81,79,83,79,83,82,81,84,81,82,85,100,86,87,85,88,100,88,88,85,88,87,87,89,88,87,88,86,88,87,88,91,88,88,89,90,90,88,88,89,89,89,89,90,88,89,88,87,93,86,88,90,93,90,100,100,91,90,92,93,89,90,91,90,87,91,89,90,91,91,91,90,92,91,90,91,91,91,91,91,100,100,90,86,100,91,90,90,92,90,90,
82,78,80,80,79,78,76,100,77,79,80,77,79,81,77,81,82,78,80,80,78,79,81,78,79,81,79,78,81,80,78,80,81,78,81,82,100,82,80,79,82,100,79,83,81,79,83,79,79,82,80,79,81,79,80,81,79,79,81,80,100,81,80,82,78,81,81,79,81,100,79,100,79,80,82,80,82,81,80,83,88,86,88,87,88,88,88,87,88,86,87,88,87,88,87,88,88,88,89,86,89,88,88,88,100,88,89,88,90,87,87,89,89,89,88,89,90,89,91,88,91,89,90,100,100,91,90,91,90,91,92,91,90,90,91,93,90,92,89,91,91,89,100,91,90,91,90,91,91,91,92,100,91,93,89,92,91,91,92,91,
78,81,81,79,82,81,79,81,79,78,80,80,79,79,81,100,78,82,80,80,81,79,78,82,80,78,80,80,100,81,79,79,81,80,78,80,81,78,81,82,100,81,83,79,81,100,78,80,82,79,82,78,79,83,79,81,81,78,100,81,79,82,79,78,83,78,100,82,78,80,81,79,82,81,79,83,80,81,85,82,100,86,85,86,88,100,88,86,86,87,85,87,86,87,88,87,87,87,87,90,87,89,88,88,88,88,90,90,88,91,88,88,90,88,88,87,89,89,87,89,89,91,90,100,100,90,89,91,89,88,89,91,89,87,89,90,93,90,91,89,90,89,90,91,92,89,90,93,91,100,100,91,86,100,91,91,92,91,92,90,
81,77,78,80,79,80,79,78,79,81,78,78,79,78,79,80,80,78,79,81,78,80,80,77,80,81,79,81,81,78,79,80,78,81,80,79,100,82,79,82,79,100,80,79,79,81,81,78,80,78,78,81,79,79,80,78,80,83,79,79,100,78,80,80,79,82,82,78,83,100,80,100,78,82,81,79,83,82,81,85,85,87,88,85,89,87,86,89,86,87,87,85,90,86,88,89,87,87,89,89,90,88,88,90,100,90,89,88,89,89,90,88,88,89,89,90,88,91,89,91,89,90,91,100,100,92,89,91,90,91,90,89,92,90,89,90,88,90,90,90,91,89,100,89,90,90,91,93,92,92,91,100,92,91,94,92,91,91,90,91,
82,79,78,77,80,79,78,82,78,78,82,79,79,82,81,100,81,80,79,81,80,78,79,80,79,79,82,78,100,81,77,80,80,81,80,78,78,81,79,78,100,78,79,83,80,100,83,79,79,81,80,79,81,78,79,80,78,79,100,79,81,81,78,80,79,78,100,80,79,80,79,80,82,78,80,82,80,83,81,81,100,85,86,85,84,100,86,86,88,85,87,88,84,87,86,87,89,86,87,89,88,91,87,89,88,88,88,87,89,89,89,89,88,89,89,88,89,89,90,90,89,91,100,100,100,90,89,88,90,88,89,90,89,86,89,90,88,91,88,90,89,89,91,88,90,88,89,89,88,100,100,91,83,100,90,90,91,91,90,90,
79,80,81,79,79,92,77,78,79,80,77,78,81,77,79,83,78,81,77,78,81,78,78,81,79,78,82,81,78,81,78,79,79,80,78,79,100,79,80,84,78,100,79,79,80,81,79,82,81,78,82,78,79,83,79,78,82,79,80,81,100,81,81,80,81,80,79,82,80,100,82,100,79,81,79,81,81,79,83,81,85,87,85,86,90,84,87,87,86,88,87,87,88,87,88,89,87,88,88,89,89,89,89,88,100,88,89,92,89,91,88,89,89,89,90,87,89,91,87,90,90,88,90,100,100,90,89,90,90,89,88,91,89,91,89,89,91,90,91,89,90,90,100,91,89,91,89,90,91,91,92,100,90,90,91,90,90,91,91,91,
82,79,78,81,80,78,80,78,79,80,78,78,80,78,78,100,80,78,79,81,78,79,81,78,80,82,79,82,100,79,80,81,78,78,80,78,81,80,78,80,100,80,79,82,79,100,81,79,79,81,78,79,83,79,81,80,78,82,100,78,83,80,79,82,79,80,100,79,81,80,79,83,80,79,85,80,82,83,81,84,100,85,88,85,87,100,85,89,85,87,88,84,87,87,86,91,87,88,88,86,88,88,86,90,87,92,90,89,89,88,89,87,88,89,87,89,88,89,89,88,89,88,89,100,100,88,90,93,87,89,89,89,92,85,90,89,90,90,91,90,89,90,90,90,89,91,91,89,91,100,100,91,86,100,90,90,93,89,89,92,
79,80,80,78,81,78,77,81,80,77,80,78,78,80,78,78,79,80,78,79,79,78,78,80,80,78,82,80,80,82,79,79,81,77,80,81,100,79,80,78,81,100,78,80,81,79,79,80,80,79,82,81,80,81,78,80,81,78,81,81,100,81,80,79,82,79,80,82,78,100,82,100,82,80,79,82,78,81,83,80,87,87,85,87,86,87,88,86,88,85,87,87,86,88,89,87,89,88,89,89,87,89,88,87,100,88,90,89,91,90,89,90,89,88,89,89,90,89,90,89,88,89,88,100,100,90,91,89,92,88,90,90,92,91,90,89,90,90,88,89,92,89,100,90,92,91,89,89,92,91,91,100,92,91,91,91,90,92,90,91,
