100,95,95,95,94,96,95,96,94,96,95,96,95,95,95,93,95,95,94,96,95,95,95,94,94,95,94,95,95,94,93,94,92,93,92,93,93,92,94,94,94,93,95,93,94,93,93,94,94,94,95,93,95,91,93,91,93,92,93,94,93,95,94,92,93,93,94,93,93,91,93,91,94,91,92,93,92,94,93
96,94,94,91,94,95,94,93,95,95,96,95,100,94,96,94,95,94,95,92,93,95,93,92,94,94,95,95,95,93,93,93,95,95,94,93,94,94,94,94,94,95,94,94,93,94,92,93,93,93,94,93,94,93,92,92,93,94,93,92,91,91,92,93,92,93,93,93,93,93,93,93,93,93,93,92,94,94,93
95,97,95,95,94,95,95,95,95,94,95,95,100,94,96,92,94,94,94,95,95,95,93,94,94,95,94,94,94,95,93,93,93,93,95,94,94,94,94,95,94,95,94,94,94,93,95,94,94,94,93,94,93,94,93,93,93,94,94,93,93,92,93,93,94,93,93,92,93,92,93,94,93,94,92,94,92,92,92
98,95,95,95,95,96,96,95,96,94,97,95,95,97,96,95,95,93,94,94,93,94,95,94,95,94,94,94,94,94,95,93,93,94,94,93,94,93,92,94,95,92,94,94,93,93,93,92,92,94,92,93,93,93,93,92,92,92,92,91,90,92,94,93,91,93,93,93,94,92,93,92,91,93,92,93,93,93,91
96,96,97,96,96,95,97,95,94,95,95,94,100,95,94,95,94,95,95,95,94,96,95,95,95,95,96,95,94,94,92,96,94,94,93,94,94,92,93,94,95,93,94,93,94,94,93,93,94,93,94,94,93,92,92,91,93,93,92,94,95,93,94,91,94,93,94,93,93,92,92,93,93,92,93,92,100,93,93
95,91,94,93,95,94,94,95,95,94,95,95,96,96,96,94,94,94,96,95,93,93,94,94,93,95,96,94,96,94,95,95,95,95,94,94,93,92,92,94,93,94,95,93,94,94,93,92,92,92,94,93,94,93,92,93,92,91,93,92,93,91,92,92,92,94,94,94,92,91,92,92,91,93,93,92,93,92,92
95,96,93,95,92,92,95,93,93,92,94,94,100,94,93,94,94,95,93,96,95,94,93,94,94,94,95,95,95,94,94,94,93,94,94,93,94,93,93,94,93,94,94,93,93,94,95,94,93,92,94,94,93,93,93,93,95,93,93,94,94,92,92,92,92,93,94,93,92,95,92,92,92,92,93,93,91,92,93
94,94,92,93,95,90,94,95,94,94,94,95,94,94,93,94,94,92,94,94,93,94,93,92,92,92,94,93,95,93,93,93,94,94,94,94,93,93,92,91,93,92,92,94,91,92,93,92,93,94,93,92,93,92,92,93,92,93,92,92,93,92,92,92,92,93,92,93,93,93,93,93,99,93,93,94,93,93,94
96,95,95,95,95,96,96,93,93,95,95,94,100,94,92,92,91,94,94,94,93,94,95,93,93,93,93,93,94,94,93,93,93,94,92,100,92,91,94,92,93,91,94,91,93,93,93,93,92,92,92,94,92,90,92,92,92,94,93,92,93,93,93,93,93,94,92,92,91,92,94,92,94,92,92,94,91,92,92
96,93,95,93,95,94,95,93,93,95,95,95,93,93,96,95,94,93,94,93,92,92,93,93,93,93,93,93,93,93,93,95,93,94,93,93,92,90,91,94,93,93,93,93,94,91,93,93,91,91,93,93,91,91,92,90,91,92,92,92,91,92,92,91,90,93,92,92,92,91,91,91,92,93,91,92,93,93,91
92,95,94,95,94,100,96,95,93,95,95,96,100,94,95,92,95,94,96,95,95,93,94,93,94,94,94,94,92,93,92,93,93,93,93,94,94,93,94,92,96,94,94,93,94,93,93,92,93,92,92,93,93,92,93,91,94,93,93,94,93,93,93,93,93,92,92,92,91,91,91,91,92,93,93,91,91,92,92
