465,477,483,472,486,473,474,481,446,460,466,473,466,457,482,472,466,454
438,518,507,515,497,521,494,490,499,496,508,496,522,515,505,483,493,486
463,505,232,500,486,513,503,505,491,496,509,510,509,494,509,488,506,460
468,484,478,493,509,512,507,478,501,512,503,473,507,491,481,499,500,448
532,523,521,506,512,506,505,458,499,499,517,493,533,508,500,498,532,450
519,521,514,537,518,521,510,514,500,534,504,521,507,520,508,491,515,422
522,544,539,529,528,512,521,473,512,487,515,479,520,497,496,507,499,457
492,566,562,526,544,553,551,557,510,539,537,549,546,562,561,552,521,485
492,516,547,504,511,539,511,504,506,493,490,496,460,520,515,512,497,467
459,496,459,669,646,674,666,620,592,621,628,614,632,628,585,612,577,530
581,639,637,638,647,624,638,620,654,645,629,624,625,607,585,557,588,562
561,643,631,674,673,666,658,624,615,647,632,584,615,648,595,631,598,529
600,633,635,643,676,657,608,618,592,605,517,597,584,614,570,576,578,538
659,674,694,651,599,593,594,591,641,626,520,534,528,583,534,538,526,498
554,652,649,647,616,523,603,617,587,582,559,570,563,554,532,567,550,499
560,625,617,626,603,549,626,640,644,632,630,643,603,595,551,649,591,592
665,647,664,630,644,635,607,622,614,624,626,681,600,542,581,586,558,536
642,702,691,650,625,650,653,647,610,609,614,628,600,613,612,618,603,596
695,672,623,630,632,635,674,651,651,615,637,603,623,570,587,596,584,545
669,678,692,670,688,679,654,639,636,626,606,622,628,596,602,590,609,519
