532,527,529,514,505,484,514,498,484,512,514,522,518,486,550,514,522,526
506,556,535,529,537,528,537,486,503,530,518,502,549,551,552,540,534,516
530,533,515,535,546,529,536,541,542,529,548,533,563,521,531,533,544,528
533,517,530,514,535,539,564,475,522,512,514,501,526,517,496,530,529,515
538,534,550,546,533,497,544,471,537,529,526,534,563,504,539,531,544,523
532,558,531,537,562,560,539,531,523,581,538,552,570,587,543,535,550,509
525,557,521,544,521,557,532,497,540,532,542,529,573,549,509,525,551,545
510,579,585,554,577,575,564,555,521,568,589,577,592,609,580,574,578,557
494,533,541,506,520,531,512,526,545,511,534,535,551,550,536,574,560,512
445,496,477,652,646,638,616,631,598,667,636,615,661,628,608,629,620,576
578,626,604,620,646,594,615,592,632,629,639,622,662,641,619,605,617,600
571,646,618,639,642,644,630,616,618,630,656,620,646,639,606,648,631,553
548,633,598,604,633,638,583,580,591,604,543,586,622,601,565,604,592,640
630,652,657,630,583,605,590,593,614,595,533,537,552,575,525,561,585,532
547,653,641,583,599,540,577,624,554,563,557,596,531,566,542,581,554,515
552,609,572,567,576,549,599,635,618,608,626,640,584,614,575,629,625,599
610,654,623,595,612,591,592,603,627,585,626,641,581,614,616,610,602,598
600,676,672,612,609,617,605,618,623,620,625,666,654,678,637,629,626,635
605,637,594,656,637,615,649,622,644,621,660,626,667,615,627,581,618,597
624,658,645,671,649,618,650,621,658,621,625,662,632,627,647,611,665,581
