TIME,MACHINENAME,RECEIPE,ID,NG_X,NG_Y,NG_STATUS
0,0,6394
0,1,6592
0,2,6250
0,3,6259
0,4,6576
0,5,6340
0,6,6408
0,7,6617
0,8,6419
0,9,6670
0,10,6633
0,11,6656
0,12,6917
0,13,6593
0,14,6804
0,15,6788
0,16,6555
0,17,7167
0,18,6946
0,19,6750
0,20,6851
0,21,6828
0,22,6629
0,23,6858
0,24,6952
0,25,6697
0,26,6616
0,27,7301
0,28,6828
0,29,6853
0,30,7251
0,31,7254
0,32,6867
0,33,6990
0,34,7327
0,35,7333
0,36,7030
0,37,7631
0,38,6864
0,39,7067
0,40,7655
0,41,7284
0,42,7406
0,43,7316
0,44,7690
0,45,8017
0,46,6592
0,47,7765
0,48,8113
0,49,7822
0,50,7545
0,51,7317
0,52,7201
0,53,6686
0,54,7099
0,55,6896
0,56,7121
0,57,7093
0,58,7291
0,59,6795
0,60,6836
0,61,6581
0,62,6738
0,63,6905
0,64,6605
0,65,6629
0,66,6408
0,67,6531
0,68,6312
0,69,6080
0,70,6216
0,71,6257
0,72,6296
0,73,6307
0,74,6060
0,75,6233
0,76,6470
0,77,5973
0,78,6110
0,79,6004
1,0,6123
1,1,6135
1,2,6764
1,3,6739
1,4,6503
1,5,6644
1,6,6627
1,7,6863
1,8,6818
1,9,6823
1,10,6953
1,11,6757
1,12,7163
1,13,6796
1,14,6689
1,15,6673
1,16,6816
1,17,6851
1,18,7338
1,19,6839
1,20,6814
1,21,7002
1,22,6969
1,23,7381
1,24,7104
1,25,7129
1,26,6550
1,27,6897
1,28,7480
1,29,7960
1,30,7251
1,31,7115
1,32,8078
1,33,7196
1,34,7350
1,35,7407
1,36,7899
1,37,7226
1,38,7427
1,39,7432
1,40,7569
1,41,7922
1,42,7782
1,43,8016
1,44,7737
1,45,7983
1,46,7794
1,47,7843
1,48,7735
1,49,7659
1,50,7920
1,51,7606
1,52,7384
1,53,7069
1,54,7504
1,55,7294
1,56,7337
1,57,7199
1,58,7308
1,59,6830
1,60,7116
1,61,7011
1,62,6760
1,63,6526
1,64,6844
1,65,6876
1,66,6362
1,67,6406
1,68,6530
1,69,6418
1,70,6293
1,71,6406
1,72,6267
1,73,6385
1,74,6127
1,75,6131
1,76,6479
1,77,6387
1,78,5811
1,79,6133
2,0,6205
2,1,6214
2,2,6159
2,3,6315
2,4,6349
2,5,6524
2,6,6097
2,7,6497
2,8,6685
2,9,6683
2,10,6073
2,11,6405
2,12,6788
2,13,6649
2,14,6790
2,15,6670
2,16,6587
2,17,6700
2,18,7159
2,19,7256
2,20,6856
2,21,6795
2,22,6974
2,23,7544
